Nodes: 2 | Threads: 4 | Size: 100000000 | Payload: 24 | Time: 58.7167
Nodes: 4 | Threads: 4 | Size: 100000000 | Payload: 24 | Time: 58.7668
Nodes: 8 | Threads: 4 | Size: 100000000 | Payload: 24 | Time: 58.5906
Nodes: 2 | Threads: 8 | Size: 100000000 | Payload: 24 | Time: 58.1676
Nodes: 4 | Threads: 8 | Size: 100000000 | Payload: 24 | Time: 58.5208
Nodes: 8 | Threads: 8 | Size: 100000000 | Payload: 24 | Time: 60.2510
Nodes: 2 | Threads: 16 | Size: 100000000 | Payload: 24 | Time: 58.6308
Nodes: 4 | Threads: 16 | Size: 100000000 | Payload: 24 | Time: 60.6769
Nodes: 8 | Threads: 16 | Size: 100000000 | Payload: 24 | Time: 58.5028
Nodes: 2 | Threads: 32 | Size: 100000000 | Payload: 24 | Time: 59.9900
Nodes: 4 | Threads: 32 | Size: 100000000 | Payload: 24 | Time: 59.3219
Nodes: 8 | Threads: 32 | Size: 100000000 | Payload: 24 | Time: 58.8645
Nodes: 2 | Threads: 2 | Size: 100000000 | Payload: 256 | Time: 330.9130
Nodes: 4 | Threads: 2 | Size: 100000000 | Payload: 256 | Time: 328.6660
Nodes: 8 | Threads: 2 | Size: 100000000 | Payload: 256 | Time: 327.9620
Nodes: 2 | Threads: 4 | Size: 100000000 | Payload: 256 | Time: 330.9250
Nodes: 4 | Threads: 4 | Size: 100000000 | Payload: 256 | Time: 328.0970
Nodes: 8 | Threads: 4 | Size: 100000000 | Payload: 256 | Time: 329.8020
Nodes: 2 | Threads: 8 | Size: 100000000 | Payload: 256 | Time: 327.5420
Nodes: 4 | Threads: 8 | Size: 100000000 | Payload: 256 | Time: 328.7790
Nodes: 8 | Threads: 8 | Size: 100000000 | Payload: 256 | Time: 328.6090
Nodes: 2 | Threads: 16 | Size: 100000000 | Payload: 256 | Time: 329.0340
Nodes: 4 | Threads: 16 | Size: 100000000 | Payload: 256 | Time: 329.0430
Nodes: 8 | Threads: 16 | Size: 100000000 | Payload: 256 | Time: 329.2490
Nodes: 2 | Threads: 32 | Size: 100000000 | Payload: 256 | Time: 329.5770
Nodes: 4 | Threads: 32 | Size: 100000000 | Payload: 256 | Time: 329.6110
Nodes: 8 | Threads: 32 | Size: 100000000 | Payload: 256 | Time: 328.9900
Nodes: 1 | Threads: 1 | Size: 1000000 | Payload: 1 | Time: 0.1037
Nodes: 1 | Threads: 1 | Size: 1000000 | Payload: 24 | Time: 0.1040
Nodes: 1 | Threads: 1 | Size: 1000000 | Payload: 256 | Time: 0.1036
Nodes: 1 | Threads: 1 | Size: 10000000 | Payload: 1 | Time: 1.2136
Nodes: 1 | Threads: 1 | Size: 10000000 | Payload: 24 | Time: 1.1991
Nodes: 1 | Threads: 1 | Size: 10000000 | Payload: 256 | Time: 1.2067
Nodes: 1 | Threads: 1 | Size: 100000000 | Payload: 1 | Time: 14.0980
Nodes: 1 | Threads: 1 | Size: 100000000 | Payload: 24 | Time: 13.7097
